Reference,Pad,PadName,Net,Value,Footprint
SW2,10,10,LIN_BUS,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW2,11,11,LIN_BUS,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW2,12,12,LIN_BUS,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW2,13,13,LIN_BUS,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW2,14,14,LIN_BUS,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW2,15,15,LIN_BUS,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
SW2,16,16,LIN_BUS,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm
TP1,1,1,+12V_OBD,12V,teensy-41-can-lin:TestPoint_Pad_D1.5mm
TP2,1,1,+5V_REGULATED,5V,teensy-41-can-lin:TestPoint_Pad_D1.5mm
TP3,1,1,GND,GND,teensy-41-can-lin:TestPoint_Pad_D1.5mm
TP4,1,1,CAN_A_H,CAN_A_H,teensy-41-can-lin:TestPoint_Pad_D1.5mm
TP5,1,1,CAN_A_L,CAN_A_L,teensy-41-can-lin:TestPoint_Pad_D1.5mm
TP6,1,1,CAN_B_H,CAN_B_H,teensy-41-can-lin:TestPoint_Pad_D1.5mm
TP7,1,1,CAN_B_L,CAN_B_L,teensy-41-can-lin:TestPoint_Pad_D1.5mm
TP8,1,1,LIN_BUS,LIN_BUS,teensy-41-can-lin:TestPoint_Pad_D1.5mm
TP9,1,1,AUX_LIN_K_IO,AUX_LIN_K,teensy-41-can-lin:TestPoint_Pad_D1.5mm
U1,0,0,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,1,1,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,2,2,CANFD_A_INT,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,3,3,CANFD_B_INT,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,3V3_B,3V3_B,+3V3,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,4,4,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,5,5,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,6,6,LIN_EN,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,7,7,LIN_RX,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,8,8,LIN_TX,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,9,9,CANFD_B_NCS,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,10,10,CANFD_A_NCS,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,11,11,CANFD_SPI_SDI_MOSI,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,12,12,CANFD_SPI_SDO_MISO,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,13,13,CANFD_SPI_SCK,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,14,14,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,15,15,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,16,16,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,17,17,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,18,18,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,19,19,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,20,20,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,21,21,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,22,22,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,23,23,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,24,24,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,25,25,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,26,26,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,27,27,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,28,28,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,29,29,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,30,30,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,31,31,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,32,32,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,33,33,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,34,34,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,35,35,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,36,36,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,37,37,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,38,38,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,39,39,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,40,40,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,41,41,,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,GND_B1,GND_B1,GND,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,GND_T1,GND_T1,GND,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,GND_T2,GND_T2,GND,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U1,VIN,VIN,+5V_REGULATED,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited
U2,1,1,CANFD_A_TXCAN,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U2,2,2,GND,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
U2,3,3,+5V_REGULATED,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm
